age,male,female
13,16448.63,105574.56
14,62095.67,274161.29
15,75512.33,615815.61
16,131320.33,587827.17
17,133353.66,677434.63
18,125457.43,495058.03
19,165683.02,522893.59
20,143642.82,408743.5
21,88086.62,278727.11
22,105690.01,212698.43
23,129564.27,196393.98
24,74988.03,174978.82
25,47189.7,50570.44
26,35044.27,113061.36
27,33581.74,67275.14
28,30408.91,70685.63
29,25050.58,54800.47
30,23815.04,31454.37
31,34134.8,44087.99
32,29013.22,31858.91
33,33749.25,43404.55
34,31332.91,37687.17
35,25145.95,25973.17
36,41021.39,58533.23
37,22751.88,77774.82
38,93896.81,65717.24
39,58939.38,35483.86
40,23643.5,26268.13
41,50636.39,33780.71
42,14318.05,34202.43
43,48666.0,44220.21
44,12766.82,38428.13
45,43997.52,77656.54
46,57699.37,37199.68
47,17479.75,47134.21
48,62713.51,22952.55
49,19322.22,40501.11
50,114115.56,38484.14
51,14435.2,38695.54
52,15469.46,96755.8
53,21639.58,29390.92
54,42208.14,28782.4
55,60414.62,15827.09
56,37590.44,33848.67
57,29738.24,29404.03
58,73141.88,45999.8
59,24880.06,38820.73
60,21427.37,91843.35
61,172423.87,26536.56
62,72424.05,22291.73
63,66948.71,50585.5
64,92129.58,27346.37
65,48619.56,25398.79
66,112999.19,37749.93
67,19250.03,10134.44
68,247002.17,442702.83
69,44152.39,18865.16
70,62027.2,13012.28
71,85549.25,131994.76
72,19408.85,13816.31
73,23849.63,156145.6
74,196086.04,88720.36
75,23402.8,14674.38
76,29913.98,5677.35
77,274368.43,19922.14
78,19600.21,428262.54
79,9209.74,22684.53
80,641326.29,292982.36
81,54862.88,69577.84
82,290212.96,17888.93
83,133964.04,150903.48
84,551887.53,623799.79
85,188258.91,428594.33
86,621950.12,446214.32
87,697510.13,53959.19
88,823674.02,52239.39
89,1076782.57,241860.32
90,189193.85,87859.31
91,174966.66,713904.29
92,53685.69,1613270.82
93,62327.49,64292.74
94,252838.03,567095.79
95,123818.42,757158.9
96,441306.81,989525.6
97,541827.79,123344.45
98,221164.32,773677.83
99,115014.62,1161751.76
100,409580.62,140389.22
101,202839.56,575164.73
102,446500.56,300741.09
103,248524.42,648193.28
104,189104.18,210071.13
105,459152.51,113453.79
106,106755.95,147241.75
107,516519.38,85999.47
108,237462.61,363677.74
109,14657.67,46512.5
110,98956.29,60506.48
111,46114.72,101588.95
112,1452136.74,26108.2
113,367717.84,135194.79
