age,male,female
13,34.85,291.34
14,47.3,207.3
15,67.96,258.18
16,62.69,265.02
17,84.9,250.97
18,72.84,275.44
19,75.71,231.14
20,69.67,225.43
21,61.76,191.57
22,61.24,163.2
23,69.72,152.05
24,57.71,187.29
25,61.29,177.84
26,60.12,133.95
27,52.03,134.37
28,42.28,187.47
29,46.59,166.37
30,47.41,144.63
31,42.56,193.34
32,39.53,150.42
33,58.14,192.77
34,44.58,173.03
35,48.95,156.08
36,38.29,198.89
37,43.76,164.24
38,44.48,151.71
39,54.61,177.26
40,36.73,176.12
41,37.52,198.3
42,63.16,172.39
43,44.52,176.18
44,38.04,192.59
45,56.4,172.71
46,51.72,139.48
47,84.73,196.95
48,76.65,149.4
49,42.2,175.09
50,69.91,192.99
51,49.13,157.73
52,45.87,157.92
53,56.42,142.51
54,89.96,136.13
55,69.13,121.05
56,72.45,126.29
57,29.85,145.96
58,61.71,131.56
59,56.12,102.73
60,26.38,96.59
61,30.26,81.71
62,59.98,106.7
63,55.8,168.64
64,38.78,123.1
65,41.57,99.03
66,45.44,103.8
67,20.78,77.6
68,140.31,153.64
69,20.14,107.78
70,24.84,66.96
71,29.11,77.89
72,42.17,98.87
73,18.61,38.45
74,37.37,65.39
75,17.25,75.19
76,13.02,30.89
77,22.12,83.97
78,23.44,83.45
79,11.61,62.62
80,74.44,214.56
81,73.51,99.02
82,8.33,38.44
83,42.47,40.41
84,22.79,260.24
85,64.54,70.85
86,18.86,46.29
87,44.96,71.47
88,105.4,85.96
89,52.51,190.26
90,144.83,277.52
91,358.84,51.9
92,32.12,63.76
93,97.15,87.75
94,111.18,98.44
95,35.79,48.71
96,154.6,75.09
97,134.06,50.24
98,46.04,176.71
99,29.11,69.0
100,128.33,200.85
101,155.2,102.84
102,92.65,84.9
103,88.22,131.76
104,129.06,130.44
105,46.62,30.45
106,78.66,88.49
107,143.25,53.26
108,76.58,91.16
109,2.86,33.5
110,23.0,223.0
111,12.0,83.0
112,21.23,27.4
113,56.98,102.05
