age,male,female
13,16.57,188.13
14,28.29,147.75
15,37.41,281.56
16,42.55,252.85
17,55.21,392.83
18,61.31,266.03
19,73.56,251.82
20,63.26,409.44
21,42.23,159.93
22,47.63,145.81
23,54.56,190.78
24,30.16,163.43
25,27.81,128.87
26,30.15,131.32
27,28.4,90.86
28,25.15,148.5
29,28.51,104.18
30,24.36,97.65
31,23.85,123.79
32,21.17,97.15
33,29.64,121.18
34,30.41,100.1
35,17.88,87.38
36,24.69,101.25
37,36.77,117.87
38,25.96,93.49
39,46.07,116.49
40,17.7,91.78
41,18.64,113.46
42,25.32,111.47
43,49.6,93.79
44,27.47,116.65
45,32.02,116.85
46,21.23,90.62
47,39.56,95.35
48,45.69,78.81
49,19.88,86.95
50,45.27,90.64
51,24.94,93.94
52,35.43,70.77
53,21.78,80.23
54,35.61,73.72
55,43.06,64.36
56,37.29,73.2
57,21.57,77.69
58,31.91,67.37
59,19.47,66.38
60,25.45,53.7
61,29.38,48.34
62,26.15,58.82
63,28.3,57.37
64,43.47,59.09
65,23.99,57.45
66,33.65,58.28
67,14.29,38.27
68,73.0,149.39
69,23.35,50.14
70,28.94,20.52
71,18.15,35.25
72,17.91,32.73
73,15.8,25.16
74,93.33,34.9
75,12.74,30.43
76,15.39,15.03
77,43.22,25.24
78,35.27,77.23
79,8.37,19.64
80,43.72,33.5
81,23.65,44.98
82,26.5,47.69
83,47.5,43.73
84,21.87,182.76
85,39.78,76.07
86,19.89,37.74
87,53.79,49.35
88,182.37,50.73
89,90.34,117.7
90,61.59,126.3
91,106.78,56.28
92,46.48,100.12
93,64.92,86.25
94,82.65,93.89
95,50.29,63.39
96,196.37,87.26
97,84.46,15.05
98,32.0,93.11
99,29.5,58.12
100,79.7,99.6
101,236.84,46.48
102,101.17,133.94
103,61.71,151.17
104,64.59,101.1
105,29.98,36.21
106,37.98,67.67
107,334.97,73.05
108,55.97,79.88
109,14.86,28.5
110,14.0,91.29
111,13.6,69.43
112,20.69,85.8
113,45.02,69.51
