age,male,female
13,291,193
14,1078,847
15,1478,1139
16,1848,1238
17,2045,1236
18,3159,2037
19,2784,1606
20,2361,1407
21,2335,1335
22,1900,1132
23,2964,1438
24,1852,975
25,2443,1193
26,1899,915
27,1477,762
28,1584,779
29,1258,677
30,1116,600
31,1061,632
32,919,524
33,1296,702
34,785,472
35,709,466
36,690,427
37,590,379
38,702,396
39,535,367
40,512,323
41,492,309
42,507,327
43,634,429
44,519,358
45,493,333
46,475,376
47,474,426
48,451,444
49,481,469
50,505,460
51,476,495
52,489,503
53,576,614
54,440,508
55,434,485
56,397,476
57,435,495
58,405,485
59,382,451
60,333,409
61,375,456
62,324,410
63,405,498
64,332,372
65,297,394
66,311,388
67,276,326
68,508,337
69,202,257
70,141,221
71,151,201
72,124,170
73,158,171
74,134,144
75,112,118
76,84,93
77,67,100
78,73,88
79,38,72
80,64,72
81,49,59
82,30,45
83,88,63
84,39,46
85,41,41
86,37,38
87,24,17
88,35,26
89,35,23
90,41,27
91,45,29
92,33,17
93,106,96
94,115,66
95,48,28
96,35,34
97,35,21
98,48,45
99,56,25
100,183,136
101,92,63
102,113,72
103,631,405
104,34,39
105,47,29
106,85,39
107,60,38
108,1016,624
109,7,2
110,7,7
111,10,7
112,13,5
113,91,105
