age,male,female
13,69.82,134.5
14,108.88,180.53
15,135.04,228.0
16,152.33,229.7
17,157.89,233.67
18,155.72,215.92
19,167.82,207.65
20,143.23,169.54
21,129.93,139.02
22,122.17,120.26
23,119.41,115.21
24,105.76,114.22
25,80.74,82.96
26,86.95,88.53
27,82.39,88.43
28,76.54,82.92
29,70.72,79.94
30,67.39,72.02
31,66.79,78.22
32,70.23,68.73
33,58.08,70.1
34,59.35,73.33
35,52.61,68.74
36,57.58,64.44
37,47.77,75.0
38,51.11,74.95
39,53.01,63.49
40,45.38,62.41
41,49.42,60.63
42,48.52,66.09
43,52.55,65.68
44,44.08,69.88
45,46.15,70.18
46,49.98,78.0
47,55.38,70.35
48,52.28,68.49
49,50.55,67.24
50,60.69,76.59
51,48.86,66.06
52,48.82,71.84
53,61.43,65.88
54,56.63,56.27
55,59.83,61.15
56,54.7,58.96
57,55.29,64.72
58,59.38,66.53
59,48.71,62.87
60,56.04,68.5
61,57.98,59.16
62,48.27,62.2
63,75.17,65.54
64,55.66,56.07
65,53.66,49.42
66,59.37,54.39
67,48.78,47.36
68,190.69,121.87
69,46.13,50.88
70,56.38,38.03
71,55.77,55.47
72,49.68,47.82
73,58.09,55.4
74,70.9,59.77
75,63.72,42.1
76,56.76,39.31
77,103.57,50.01
78,44.32,67.35
79,39.42,41.06
80,176.67,66.04
81,57.43,75.34
82,118.4,54.58
83,135.5,105.24
84,115.13,133.04
85,176.07,183.9
86,168.35,119.76
87,213.83,74.12
88,243.46,102.85
89,206.71,125.0
90,145.95,112.04
91,199.13,123.66
92,145.58,270.12
93,154.76,113.76
94,251.17,193.39
95,146.42,234.96
96,198.86,162.79
97,294.83,154.9
98,199.04,128.33
99,196.32,141.36
100,198.92,161.38
101,231.01,164.59
102,201.59,224.94
103,249.52,173.05
104,236.85,161.62
105,232.72,152.31
106,163.79,145.49
107,173.8,156.47
108,203.53,144.16
109,81.71,33.0
110,190.86,141.14
111,109.4,142.29
112,164.92,85.2
113,217.53,119.34
