age,male,female
13,8690.05,26373.21
14,27914.12,57193.01
15,38668.05,87396.15
16,48297.54,86970.89
17,57964.81,117151.84
18,53720.02,87975.31
19,71659.47,87701.59
20,51972.21,66585.51
21,44573.36,45411.03
22,37876.71,40051.04
23,43071.29,34140.25
24,33756.6,28166.64
25,21930.91,16560.84
26,17628.77,16977.79
27,20841.12,16860.72
28,15749.3,17164.61
29,12879.07,17000.6
30,11030.16,10311.24
31,14959.5,12992.12
32,12864.45,8072.23
33,7765.23,16217.52
34,15431.6,8692.61
35,10786.12,7080.14
36,15773.45,7009.74
37,5248.59,23973.65
38,9622.69,22330.53
39,9155.7,9565.56
40,13701.03,6547.57
41,11923.26,7136.73
42,6000.91,12664.18
43,9771.59,15331.1
44,4756.85,10423.65
45,8294.21,13929.67
46,9911.17,18402.94
47,8941.8,15474.91
48,7067.22,10382.44
49,9672.9,9616.79
50,21633.05,16482.62
51,6168.75,9189.33
52,5963.1,18255.88
53,8321.71,9172.22
54,13310.96,5894.76
55,12962.68,5641.08
56,16782.79,6323.43
57,8570.25,7951.6
58,23646.7,10356.69
59,6434.94,12307.26
60,9933.27,37887.64
61,16607.28,7900.37
62,4930.81,5937.27
63,28694.66,10807.96
64,7961.03,10073.07
65,13797.59,5713.23
66,23288.92,10346.32
67,5985.36,2967.3
68,88624.92,41264.42
69,11105.14,7445.06
70,19613.22,3726.66
71,16996.74,8823.57
72,11765.91,4737.61
73,11797.24,6818.72
74,19350.02,15522.96
75,9115.55,2217.92
76,9382.67,2236.15
77,46089.22,7644.86
78,3343.83,23907.22
79,2723.22,2788.11
80,113471.91,5052.72
81,5370.0,24144.4
82,22219.77,8056.93
83,38067.43,15882.22
84,16359.59,54750.26
85,74417.52,169307.44
86,49040.68,19983.37
87,85429.36,21367.36
88,101765.14,11677.42
89,112957.62,39440.36
90,30068.9,17954.81
91,75799.53,39631.09
92,20338.81,345230.86
93,24097.42,12233.26
94,108784.88,92674.8
95,14334.59,70806.92
96,90370.54,51563.08
97,244433.44,29279.99
98,46530.59,17932.05
99,46439.02,27305.66
100,118523.41,37374.89
101,96343.79,41427.96
102,78245.78,75393.18
103,74180.88,38582.79
104,71023.04,29371.82
105,109905.29,18196.22
106,31703.74,16826.52
107,30658.87,35281.17
108,67103.59,31033.31
109,4261.9,1568.0
110,24709.81,20575.81
111,13965.16,49442.24
112,85287.24,5200.2
113,105451.25,15672.98
