age,male,female
13,50.09,428.68
14,71.1,319.87
15,97.67,393.11
16,91.56,384.98
17,126.99,405.3
18,105.68,400.94
19,106.39,364.83
20,106.38,351.16
21,86.65,270.04
22,85.47,232.55
23,92.46,220.89
24,67.85,243.35
25,70.18,218.76
26,69.65,181.9
27,64.84,170.55
28,51.65,228.56
29,54.84,196.88
30,55.17,189.45
31,56.74,246.23
32,45.8,189.29
33,69.51,250.62
34,55.29,217.86
35,57.77,198.67
36,46.01,254.32
37,54.23,213.35
38,56.04,200.6
39,68.93,246.22
40,47.26,213.81
41,43.3,251.47
42,68.55,247.22
43,62.09,253.93
44,53.17,253.13
45,74.84,226.71
46,70.88,223.49
47,103.87,303.2
48,94.49,217.98
49,64.96,263.62
50,99.19,276.04
51,71.08,252.25
52,78.27,243.88
53,80.01,244.52
54,128.09,245.2
55,98.33,207.61
56,110.16,224.57
57,66.89,286.69
58,102.68,248.75
59,82.73,232.7
60,58.73,189.25
61,69.81,168.17
62,98.83,270.19
63,100.71,241.92
64,81.85,231.8
65,89.35,208.57
66,111.77,217.63
67,83.37,230.57
68,178.34,248.69
69,64.37,199.92
70,90.53,124.31
71,80.61,178.24
72,77.66,168.48
73,56.24,131.65
74,135.04,148.47
75,37.96,200.74
76,35.04,83.38
77,63.66,132.59
78,108.77,211.89
79,33.76,121.97
80,94.08,261.99
81,89.61,148.36
82,39.03,66.87
83,102.75,97.86
84,34.0,316.17
85,89.56,120.46
86,91.73,146.08
87,116.17,79.59
88,244.14,155.08
89,95.54,205.57
90,173.17,296.3
91,411.0,125.69
92,77.33,170.76
93,165.84,175.0
94,154.33,152.64
95,188.0,64.11
96,260.6,147.94
97,191.71,108.19
98,92.44,257.82
99,60.05,89.16
100,156.67,248.1
101,207.26,122.38
102,147.4,180.12
103,124.6,194.01
104,166.12,228.74
105,79.13,100.17
106,110.89,201.26
107,204.63,154.97
108,125.61,180.79
109,4.0,33.5
110,32.57,257.57
111,24.9,167.57
112,77.69,98.8
113,90.01,168.34
