age,male,female
13,59250.1,1277748.43
14,112264.64,538441.16
15,232273.74,965139.31
16,90760.04,970211.37
17,364390.51,1149076.85
18,162618.38,1128491.72
19,193811.11,670216.3
20,322117.28,910480.41
21,151249.78,535004.91
22,173965.88,335396.7
23,396594.15,390822.35
24,107489.11,640157.99
25,165719.06,684441.7
26,152106.68,359396.88
27,144562.14,241785.18
28,47803.84,349314.45
29,97349.81,567809.88
30,61270.86,302253.66
31,107164.82,606451.41
32,31010.97,248710.63
33,166080.06,649375.05
34,57840.18,330171.85
35,117326.81,274886.43
36,35873.47,517990.44
37,42751.18,267712.05
38,63750.87,227137.34
39,219745.52,617493.12
40,26210.13,262612.67
41,15963.16,354058.2
42,59205.32,519938.25
43,92366.28,284131.28
44,45345.92,325573.09
45,58086.76,554107.18
46,69332.51,334903.05
47,181109.41,530843.56
48,289360.85,198045.53
49,48006.37,476747.94
50,97159.52,640185.02
51,42193.72,282751.09
52,65789.79,345412.85
53,195159.52,371667.68
54,451832.17,378558.87
55,191131.33,220673.32
56,406980.34,236741.9
57,70745.94,617884.5
58,202482.95,326740.59
59,148787.03,322091.15
60,32093.96,164916.62
61,89903.87,144908.8
62,113627.86,410862.14
63,304418.65,537565.93
64,161978.34,549645.31
65,108303.16,240430.28
66,136845.54,720065.21
67,210445.01,745231.0
68,1130129.26,459252.98
69,72042.15,333794.45
70,99143.05,126944.01
71,69944.48,273319.43
72,95612.49,220442.49
73,35156.97,146661.46
74,652261.86,171499.12
75,8774.35,592040.64
76,7191.41,33369.54
77,22030.65,111754.65
78,279073.29,235258.77
79,4437.48,151697.94
80,53303.18,980139.68
81,75206.2,158627.92
82,4313.83,22272.57
83,215488.76,50957.06
84,4937.0,766805.35
85,29872.1,63615.25
86,46089.98,74659.05
87,66846.58,75667.88
88,316038.42,68210.87
89,14036.02,145229.08
90,164600.35,612511.37
91,2811363.55,46125.79
92,10052.79,74427.82
93,267337.79,99459.68
94,211469.75,64124.88
95,261165.74,13133.88
96,328687.6,34082.97
97,96090.97,46110.16
98,34090.51,503965.74
99,10811.54,21523.89
100,111099.23,154899.05
101,1483739.25,69760.27
102,169565.3,165794.28
103,232648.53,342526.44
104,144967.2,138989.93
105,17215.2,21037.93
106,40416.38,116947.67
107,725090.54,63585.05
108,100143.34,201163.12
109,7.67,1860.5
110,1086.29,235560.29
111,499.88,34873.29
112,33046.23,6412.7
113,21487.94,146611.09
