age,male,female
13,17337.35,1075140.7
14,66408.37,543851.16
15,102472.39,1889929.32
16,72767.52,1539360.3
17,237182.93,57805751.07
18,1084455.01,2022732.18
19,429364.63,2067312.11
20,1376183.32,34382167.23
21,88556.94,529981.89
22,214013.65,810781.23
23,2455462.03,16711694.17
24,44563.93,1291640.08
25,34603.59,462769.58
26,52116.75,1209746.25
27,79295.96,136496.05
28,79356.39,1134742.63
29,107211.25,405147.77
30,36211.89,235596.31
31,39812.11,309416.95
32,10954.92,206397.62
33,77514.26,349055.9
34,104288.18,121262.21
35,10449.92,214455.76
36,36042.52,212614.17
37,316165.39,545731.75
38,68540.43,185245.79
39,648479.55,727545.02
40,11196.51,159997.37
41,6921.95,258309.03
42,13979.85,429005.23
43,488487.94,200638.62
44,36698.64,732098.18
45,92198.04,549739.3
46,15978.94,432517.5
47,151670.44,327519.57
48,98439.47,99496.25
49,15157.1,117893.72
50,178062.8,182919.34
51,18931.97,114163.6
52,79534.99,98998.96
53,15156.1,219494.22
54,77019.23,161531.85
55,113888.15,97909.57
56,87221.53,130851.66
57,19386.59,410331.73
58,163254.77,244302.22
59,25775.89,277243.05
60,34518.16,79728.05
61,158062.17,49136.77
62,47067.58,570831.73
63,55606.77,74313.19
64,364890.55,160170.95
65,29797.39,111277.23
66,27782.79,164679.23
67,43953.6,48681.38
68,258193.46,1224044.19
69,41976.98,149848.48
70,106385.35,12181.65
71,23610.92,41590.53
72,9867.27,24510.09
73,4107.41,25611.97
74,11663397.55,52718.99
75,3582.39,110066.79
76,9402.41,4082.3
77,58622.37,11903.34
78,131575.91,282243.45
79,773.99,4740.98
80,20928.01,17373.66
81,9486.18,24750.04
82,12694.72,60440.91
83,98031.94,22768.18
84,9837.94,341346.47
85,13841.64,153502.49
86,4685.97,19380.93
87,32836.8,75546.81
88,710881.32,35103.5
89,168571.13,89214.77
90,40143.51,149575.52
91,131376.36,16281.08
92,27125.62,255426.9
93,78639.04,136358.27
94,187111.97,112605.32
95,39967.19,15743.63
96,771234.03,62929.62
97,82004.73,2070.75
98,30401.71,180684.34
99,8672.18,14081.34
100,79807.38,45734.3
101,3314483.06,23641.45
102,449307.13,290642.61
103,103123.21,680381.2
104,42706.39,110677.87
105,9926.25,19771.79
106,8721.58,54183.58
107,6420863.13,49154.99
108,92237.87,112723.44
109,3338.9,2312.0
110,1307.62,32620.81
111,531.88,27178.29
112,4417.24,18847.3
113,17482.53,35916.52
