age,male,female
13,24.27,358.11
14,47.96,272.93
15,61.73,475.06
16,70.65,414.48
17,91.47,681.08
18,105.22,449.03
19,118.35,441.97
20,110.1,639.85
21,69.12,264.74
22,77.36,258.28
23,91.84,325.14
24,47.18,258.98
25,42.14,192.79
26,45.66,201.85
27,46.31,148.29
28,39.82,229.81
29,40.91,165.2
30,38.16,158.5
31,36.57,196.97
32,32.22,154.3
33,44.02,189.48
34,49.34,160.95
35,27.6,154.11
36,38.68,160.93
37,58.77,199.77
38,47.59,160.74
39,78.36,203.82
40,29.09,156.0
41,28.16,193.3
42,37.61,197.67
43,74.03,171.4
44,41.84,203.39
45,61.12,195.27
46,35.47,178.78
47,64.77,201.33
48,69.69,147.34
49,37.63,156.24
50,86.83,161.08
51,40.74,165.52
52,64.74,137.93
53,40.32,159.47
54,64.43,142.03
55,76.86,123.85
56,57.61,135.01
57,41.89,162.97
58,64.16,153.74
59,39.73,139.81
60,47.83,119.93
61,70.33,104.0
62,55.92,180.87
63,51.34,106.2
64,65.14,116.7
65,54.6,121.67
66,66.75,117.72
67,48.58,89.87
68,101.85,232.55
69,49.21,101.46
70,73.26,50.92
71,41.58,70.61
72,32.16,62.9
73,27.25,59.91
74,331.81,68.49
75,25.3,76.77
76,32.18,30.53
77,89.9,52.44
78,60.68,158.64
79,17.18,37.15
80,65.2,59.94
81,39.69,68.92
82,42.97,67.04
83,84.62,83.4
84,36.46,231.28
85,60.61,132.61
86,40.03,82.34
87,103.25,74.94
88,301.17,101.31
89,166.86,163.96
90,95.71,177.7
91,132.09,83.69
92,76.94,225.82
93,110.09,151.5
94,121.12,145.14
95,98.96,91.0
96,321.97,166.79
97,178.46,35.05
98,65.23,153.27
99,50.43,77.56
100,132.14,150.52
101,265.87,79.54
102,158.33,233.4
103,103.79,222.36
104,111.09,188.64
105,65.43,82.17
106,64.04,130.28
107,397.87,128.34
108,95.01,139.52
109,27.29,34.0
110,24.43,136.86
111,24.9,112.43
112,41.08,135.4
113,76.1,127.3
