age,male,female
13,32271.45,953000.22
14,80946.82,223090.37
15,153690.86,603567.32
16,62751.11,566338.92
17,182525.23,499362.74
18,79058.51,613054.55
19,91026.76,267704.23
20,130285.09,366248.71
21,88759.8,309225.02
22,119823.5,206507.1
23,321395.7,178971.86
24,95764.23,461831.33
25,135218.86,566392.78
26,139695.2,189177.19
27,123659.69,189137.83
28,40030.98,300935.95
29,87666.82,505507.39
30,57668.74,205059.5
31,58506.21,534142.09
32,29399.1,200805.91
33,133221.78,410894.88
34,31050.01,286990.75
35,111582.88,199324.27
36,31323.5,329646.53
37,26524.65,146399.19
38,54583.81,153009.36
39,204933.8,414032.83
40,20229.71,202601.5
41,14841.49,278776.87
42,57920.24,277670.31
43,45325.72,191621.37
44,30434.55,239837.7
45,32555.29,521233.46
46,46733.31,101409.46
47,163051.08,363941.77
48,274178.42,107533.86
49,38302.5,392072.96
50,59522.12,549411.45
51,25019.4,185962.21
52,32424.5,192780.34
53,145681.0,241899.76
54,351844.19,165980.04
55,139387.0,98192.87
56,242280.34,116659.29
57,11554.17,205676.81
58,141313.69,169602.97
59,135149.67,92600.23
60,10651.6,67115.35
61,19241.11,69998.3
62,72167.27,136853.78
63,116485.58,490927.04
64,41060.93,332367.31
65,31016.75,138552.75
66,37867.53,238059.18
67,6159.63,86077.78
68,1064764.11,379925.88
69,7047.18,205930.48
70,10870.91,97857.78
71,18072.37,153523.65
72,67523.31,175624.17
73,3297.54,16696.07
74,49431.96,29197.89
75,5470.75,104722.38
76,1671.88,8056.6
77,11978.38,79804.15
78,10528.83,96972.02
79,1201.81,136774.86
80,52036.92,962786.08
81,74428.42,136285.22
82,542.44,10370.75
83,23449.08,10642.99
84,3377.01,639808.32
85,24215.7,38184.33
86,923.62,13109.35
87,9989.61,75950.64
88,191073.89,34820.6
89,7715.49,145648.11
90,159895.0,592659.18
91,2737746.59,8770.17
92,5888.98,13551.82
93,123059.08,37185.18
94,178870.66,38683.57
95,4846.0,13047.25
96,187565.95,10888.39
97,88614.47,22652.19
98,10083.27,446133.44
99,4732.32,18256.83
100,100656.84,126014.71
101,1067234.38,63291.52
102,83808.12,18918.99
103,187368.46,234329.98
104,146721.09,70535.99
105,10495.68,2805.97
106,38474.56,24495.52
107,318897.21,11089.82
108,66576.4,79808.55
109,9.48,1860.5
110,1217.33,230851.33
111,379.56,31440.33
112,1760.69,2012.8
113,16124.04,79153.01
