age,male,female
13,11199.47,297084.95
14,23608.79,169981.03
15,41671.24,802683.17
16,27956.94,641249.87
17,95023.98,15074146.47
18,191337.61,693393.46
19,163241.58,713712.89
20,438956.8,18776802.67
21,34838.7,201958.36
22,68099.64,243116.4
23,689643.31,5844895.88
24,15276.6,667380.87
25,17003.14,212539.76
26,20700.18,613998.95
27,39652.05,54127.18
28,18655.98,510839.57
29,78171.13,251340.1
30,16595.2,118524.12
31,19027.34,191604.75
32,4235.54,95386.43
33,34061.48,154855.28
34,31121.69,60367.48
35,4774.65,39241.89
36,10876.9,109471.36
37,115802.51,145241.21
38,13323.58,65276.78
39,224869.22,305053.41
40,4064.93,58706.8
41,3563.23,90625.74
42,7483.52,132046.35
43,240937.79,71594.02
44,22486.89,225244.37
45,16967.12,380449.89
46,5575.32,48840.77
47,73492.05,51562.72
48,57749.54,28867.1
49,5556.05,43083.42
50,52754.28,104161.53
51,10866.62,46507.58
52,20058.48,33670.21
53,4585.53,55768.86
54,35920.29,50966.82
55,37293.41,23932.45
56,69479.69,43398.93
57,5300.97,125256.41
58,59343.87,38387.7
59,5964.96,61699.85
60,14399.87,18568.12
61,18805.87,13435.16
62,7145.82,26898.55
63,20793.18,43117.13
64,221769.33,48878.07
65,7246.66,45849.48
66,9405.16,57474.28
67,1948.76,14451.77
68,177600.9,593395.5
69,10728.76,56747.57
70,25474.16,2012.01
71,4334.62,14622.38
72,6157.19,9348.46
73,1357.53,3412.99
74,779361.26,13994.44
75,1004.07,13304.98
76,2036.29,1251.84
77,12746.99,3418.35
78,50284.34,96615.05
79,341.64,1427.3
80,11409.6,5129.69
81,3016.81,14665.78
82,8040.33,31283.45
83,27852.9,8680.75
84,4497.22,233259.07
85,9508.18,78534.22
86,1388.38,4425.55
87,11395.74,36444.99
88,274486.95,11615.88
89,76407.58,53322.58
90,15673.85,107825.45
91,113708.72,12154.06
92,17440.26,87955.24
93,29580.22,48059.89
94,110491.93,52518.68
95,8998.59,8133.51
96,337668.24,17848.2
97,21560.02,446.45
98,2929.49,96533.42
99,3449.42,9911.61
100,27285.65,23071.65
101,3093567.13,8108.83
102,200404.36,129872.19
103,40865.78,498160.39
104,18524.13,43188.57
105,1998.33,2599.1
106,3926.26,13690.96
107,5157350.81,27444.97
108,33286.8,46974.2
109,1050.14,1624.5
110,549.33,15888.57
111,374.71,12166.95
112,790.06,9365.2
113,9027.44,14238.16
