age,male,female
13,6977.1,213745.38
14,22314.66,155751.12
15,41254.95,262068.8
16,14510.4,193299.03
17,115892.01,456229.3
18,52251.54,318772.7
19,59453.68,249586.23
20,112044.55,372245.74
21,37265.17,107121.0
22,33583.01,84653.57
23,36988.03,139579.2
24,7022.6,72767.33
25,6320.27,57511.23
26,5611.84,103020.17
27,14521.89,30948.73
28,4148.86,25535.4
29,2703.1,12098.99
30,1421.22,36874.55
31,22791.57,53517.5
32,1001.22,27894.77
33,7668.28,174159.39
34,11836.2,25016.95
35,4735.15,52025.84
36,4246.17,71978.99
37,5536.57,60689.6
38,3889.24,47090.77
39,6266.01,111813.31
40,3008.54,37105.28
41,671.04,31506.72
42,482.83,141116.06
43,19055.99,71573.21
44,11585.8,50070.3
45,9206.78,25248.46
46,10869.24,221733.39
47,11946.06,116225.69
48,13373.12,44208.29
49,7990.48,77651.64
50,16619.28,66757.39
51,9247.43,68733.57
52,27169.03,149953.98
53,45542.35,96439.89
54,65532.75,149670.84
55,26212.14,126629.58
56,113262.68,122576.46
57,57299.19,357496.34
58,32466.56,146319.0
59,11780.29,183824.89
60,20719.19,81497.54
61,60309.26,51260.09
62,37396.81,293397.79
63,63597.45,44934.06
64,98486.01,191258.13
65,60060.45,105353.5
66,94908.1,333832.02
67,199106.12,497165.04
68,65636.28,82978.89
69,40568.98,95485.52
70,80066.73,35026.38
71,53308.89,86402.61
72,29357.86,42807.09
73,27269.06,121434.8
74,478765.86,115139.12
75,3391.06,471533.21
76,4364.71,17076.58
77,11090.53,17129.13
78,257822.67,125816.11
79,2602.24,21693.22
80,3266.9,21948.3
81,2778.93,31995.5
82,4159.6,5009.43
83,105206.23,40484.22
84,916.85,36268.11
85,1930.57,19268.44
86,40560.06,65276.71
87,30877.39,88.24
88,130294.49,38195.63
89,6015.56,644.95
90,3807.13,2359.72
91,18085.27,41683.31
92,5679.8,35604.38
93,72850.43,60215.18
94,32821.97,20748.78
95,244720.3,479.36
96,78088.59,19402.25
97,14163.64,22964.55
98,23568.75,71210.78
99,7494.96,3486.89
100,6877.44,24704.0
101,38777.18,1655.22
102,41443.9,150729.64
103,32600.8,88790.03
104,4659.33,75577.27
105,8288.39,21005.06
106,3535.02,100792.29
107,107214.55,59430.1
108,26082.29,85859.77
109,4.14,0.0
110,151.62,3739.29
111,271.43,18971.95
112,33394.77,4152.3
113,6009.79,21736.63
