age,male,female
13,15.24,137.34
14,23.81,112.57
15,29.71,134.93
16,28.87,119.96
17,42.09,154.33
18,32.84,125.51
19,30.69,133.7
20,36.71,125.73
21,24.89,78.47
22,24.23,69.35
23,22.74,68.83
24,10.14,56.06
25,8.89,40.92
26,9.53,47.95
27,12.81,36.18
28,9.37,41.09
29,8.24,30.51
30,7.76,44.82
31,14.18,52.89
32,6.27,38.87
33,11.37,57.85
34,10.71,44.83
35,8.82,42.59
36,7.72,55.43
37,10.47,49.11
38,11.56,48.89
39,14.32,68.96
40,10.53,37.69
41,5.78,53.16
42,5.39,74.84
43,17.58,77.76
44,15.13,60.55
45,18.44,54.0
46,19.16,84.01
47,19.14,106.25
48,17.84,68.57
49,22.76,88.54
50,29.28,83.05
51,21.95,94.52
52,32.4,85.96
53,23.6,102.01
54,38.13,109.07
55,29.2,86.57
56,37.71,98.28
57,37.03,140.74
58,40.96,117.19
59,26.61,129.97
60,32.35,92.67
61,39.55,86.46
62,38.84,163.49
63,44.92,73.28
64,43.06,108.69
65,47.77,109.55
66,66.33,113.83
67,62.59,152.98
68,38.02,95.04
69,44.23,92.14
70,65.7,57.35
71,51.5,100.36
72,35.49,69.61
73,37.63,93.2
74,97.66,83.08
75,20.71,125.54
76,22.01,52.48
77,41.54,48.62
78,85.33,128.43
79,22.16,59.35
80,19.64,47.43
81,16.1,49.34
82,30.7,28.42
83,60.28,57.44
84,11.21,55.93
85,25.02,49.61
86,72.86,99.79
87,71.21,8.12
88,138.74,69.12
89,43.03,15.3
90,28.34,18.78
91,52.16,73.79
92,45.21,107.0
93,68.69,87.25
94,43.15,54.2
95,152.21,15.39
96,106.0,72.85
97,57.66,57.95
98,46.4,81.11
99,30.95,20.16
100,28.33,47.25
101,52.07,19.54
102,54.75,95.22
103,36.38,62.25
104,37.06,98.31
105,32.51,69.72
106,32.24,112.77
107,61.38,101.71
108,49.03,89.63
109,1.14,0.0
110,9.57,34.57
111,12.9,84.57
112,56.46,71.4
113,33.03,66.3
