age,male,female
13,7.7,169.98
14,19.67,125.17
15,24.32,193.5
16,28.09,161.62
17,36.26,288.25
18,43.91,183.0
19,44.79,190.16
20,46.84,230.42
21,26.89,104.81
22,29.73,112.46
23,37.28,134.37
24,17.03,95.56
25,14.32,63.93
26,15.51,70.53
27,17.91,57.42
28,14.67,81.31
29,12.41,61.03
30,13.79,60.84
31,12.72,73.18
32,11.05,57.15
33,14.38,68.3
34,18.93,60.85
35,9.72,66.73
36,13.99,59.68
37,21.99,81.9
38,21.63,67.26
39,32.29,87.33
40,11.39,64.22
41,9.52,79.83
42,12.3,86.2
43,24.43,77.61
44,14.38,86.73
45,29.1,78.42
46,14.24,88.16
47,25.21,105.98
48,24.0,68.53
49,17.75,69.29
50,41.56,70.44
51,15.8,71.58
52,29.31,67.16
53,18.54,79.25
54,28.81,68.31
55,33.8,59.49
56,20.33,61.81
57,20.32,85.28
58,32.26,86.37
59,20.26,73.43
60,22.38,66.22
61,40.96,55.66
62,29.77,122.05
63,23.04,48.84
64,21.66,57.6
65,30.61,64.22
66,33.1,59.44
67,34.29,51.6
68,28.84,83.16
69,25.87,51.32
70,44.32,30.4
71,23.43,35.36
72,14.25,30.17
73,11.46,34.75
74,238.49,33.6
75,12.56,46.34
76,16.79,15.49
77,46.67,27.2
78,25.41,81.41
79,8.82,17.51
80,21.48,26.43
81,16.04,23.93
82,16.47,19.36
83,37.12,39.67
84,14.59,48.52
85,20.83,56.54
86,20.14,44.61
87,49.46,25.59
88,118.8,50.58
89,76.51,46.26
90,34.12,51.41
91,25.31,27.41
92,30.45,125.71
93,45.17,65.25
94,38.47,51.24
95,48.67,27.61
96,125.6,79.53
97,94.0,20.0
98,33.23,60.16
99,20.93,19.44
100,52.43,50.92
101,29.03,33.06
102,57.16,99.46
103,42.09,71.19
104,46.5,87.54
105,35.45,45.97
106,26.06,62.62
107,62.9,55.29
108,39.04,59.64
109,12.43,5.5
110,10.43,45.57
111,11.3,43.0
112,20.38,49.6
113,31.08,57.79
