age,male,female
13,765.86,376357.85
14,15104.28,160084.44
15,19675.04,340185.6
16,14808.91,254317.23
17,45149.66,14036276.84
18,402643.91,448673.4
19,82279.14,447696.91
20,278578.15,2680897.93
21,19008.74,115082.99
22,47899.81,223321.95
23,554245.55,2826280.0
24,14951.05,142492.61
25,6477.99,68408.98
26,8954.73,119744.01
27,11159.07,33785.2
28,24053.04,157864.74
29,4336.8,46397.68
30,5814.41,41452.08
31,5867.2,46163.45
32,2526.5,26920.4
33,11527.75,58708.64
34,23286.36,20482.44
35,1657.44,116722.88
36,13594.14,34762.44
37,50396.17,150409.89
38,26921.29,61527.06
39,111228.37,134075.63
40,2238.19,41203.05
41,1218.36,49907.06
42,1431.37,122646.6
43,45011.23,48941.2
44,2690.68,165499.94
45,39434.9,45161.6
46,3729.86,289224.73
47,17468.51,179092.14
48,8098.79,29253.72
49,3486.74,28623.11
50,50847.66,32902.09
51,2088.04,27958.49
52,24637.63,29777.91
53,3967.11,72996.4
54,10422.38,44647.58
55,25991.83,39124.87
56,3409.41,27189.05
57,5330.54,100300.71
58,28433.6,108055.29
59,7577.76,94392.49
60,5603.46,31384.42
61,98960.78,15436.22
62,19312.08,392777.78
63,9496.67,12070.5
64,18357.03,39156.11
65,11394.66,32390.38
66,7881.29,35013.84
67,29282.95,18428.71
68,11409.48,136661.72
69,11086.13,28299.65
70,40234.1,5700.93
71,13091.05,11766.16
72,2440.55,5925.72
73,972.01,12765.5
74,6419734.42,15107.05
75,999.82,48475.9
76,2879.04,996.12
77,19558.31,4277.9
78,19547.11,62014.57
79,235.07,1486.31
80,3169.94,4104.61
81,2380.33,2571.31
82,1025.36,4835.42
83,23502.34,5202.81
84,1294.35,11919.28
85,1175.4,15651.3
86,1629.06,6775.43
87,10458.78,7059.88
88,126582.52,9076.57
89,22809.14,6860.57
90,6612.21,12454.25
91,3340.13,1613.89
92,2031.38,72279.85
93,15939.0,27069.81
94,12536.8,13176.22
95,13148.23,1861.88
96,111095.6,24839.41
97,34583.0,848.3
98,19004.01,20399.36
99,1641.59,827.84
100,19238.5,6800.74
101,5704.98,5178.67
102,52896.83,60856.08
103,21798.28,35537.85
104,6954.14,26435.04
105,3850.95,12459.82
106,1712.89,23914.3
107,72321.89,8688.05
108,20767.79,22207.05
109,651.62,60.5
110,170.95,3703.29
111,89.12,3639.33
112,2257.92,1740.3
113,2968.61,10784.26
